iter	Passed	Remaining
0	156	156430
1	158	78852
2	159	52974
3	160	40028
4	162	32269
5	163	27081
6	164	23380
7	166	20610
8	167	18484
9	169	16751
10	170	15333
11	171	14156
12	173	13152
13	174	12297
14	175	11555
15	177	10901
16	178	10327
17	179	9787
18	180	9296
19	180	8859
20	181	8463
21	182	8101
22	182	7769
23	183	7463
24	184	7181
25	184	6922
26	185	6684
27	186	6461
28	186	6254
29	187	6061
30	188	5880
31	188	5710
32	189	5550
33	190	5399
34	190	5258
35	191	5125
36	192	4998
37	192	4878
38	193	4764
39	193	4655
40	194	4552
41	195	4456
42	196	4363
43	196	4274
44	197	4189
45	198	4108
46	198	4030
47	199	3957
48	200	3885
49	200	3816
50	201	3750
51	202	3697
52	204	3652
53	205	3598
54	206	3544
55	207	3489
56	207	3435
57	208	3383
58	208	3333
59	209	3286
60	210	3247
61	211	3201
62	212	3157
63	212	3113
64	213	3072
65	214	3031
66	214	2990
67	215	2948
68	215	2911
69	216	2874
70	216	2839
71	217	2804
72	218	2771
73	218	2738
74	219	2705
75	219	2674
76	220	2644
77	221	2614
78	221	2585
79	222	2557
80	222	2529
81	223	2502
82	224	2476
83	224	2450
84	225	2423
85	225	2399
86	226	2373
87	226	2349
88	227	2326
89	227	2304
90	228	2282
91	229	2260
92	229	2240
93	230	2224
94	231	2205
95	232	2185
96	232	2166
97	233	2147
98	233	2128
99	234	2111
100	235	2093
101	235	2073
102	236	2056
103	236	2038
104	237	2022
105	237	2006
106	238	1989
107	238	1973
108	239	1958
109	240	1943
110	240	1928
111	241	1914
112	241	1899
113	242	1885
114	243	1870
115	243	1856
116	244	1842
117	244	1829
118	245	1815
119	245	1802
120	246	1790
121	247	1780
122	247	1766
123	248	1754
124	249	1743
125	249	1732
126	250	1721
127	250	1709
128	251	1698
129	252	1687
130	252	1676
131	253	1665
132	254	1655
133	254	1645
134	255	1635
135	255	1625
136	256	1615
137	256	1605
138	257	1595
139	258	1585
140	258	1576
141	259	1566
142	259	1557
143	260	1548
144	261	1539
145	261	1530
146	262	1521
147	262	1512
148	263	1504
149	263	1495
150	264	1488
151	265	1480
152	265	1472
153	266	1464
154	267	1456
155	267	1449
156	268	1441
157	269	1433
158	269	1426
159	270	1419
160	270	1411
161	271	1404
162	272	1397
163	272	1389
164	273	1382
165	273	1375
166	274	1368
167	275	1361
168	275	1355
169	276	1349
170	276	1342
171	277	1337
172	279	1337
173	280	1331
174	281	1325
175	282	1320
176	282	1315
177	283	1309
178	285	1307
179	285	1302
180	286	1295
181	287	1290
182	287	1285
183	288	1280
184	289	1275
185	290	1269
186	290	1264
187	291	1259
188	292	1253
189	293	1249
190	293	1244
191	294	1239
192	295	1234
193	296	1230
194	296	1225
195	297	1220
196	298	1215
197	298	1210
198	299	1205
199	300	1201
200	301	1197
201	301	1192
202	302	1187
203	302	1182
204	303	1177
205	304	1171
206	304	1167
207	305	1162
208	305	1157
209	306	1152
210	306	1147
211	307	1143
212	308	1138
213	308	1133
214	309	1129
215	309	1124
216	310	1120
217	311	1116
218	311	1111
219	312	1107
220	312	1102
221	313	1098
222	314	1094
223	315	1092
224	316	1088
225	316	1084
226	317	1080
227	317	1076
228	318	1072
229	319	1068
230	319	1064
231	320	1060
232	321	1056
233	321	1053
234	322	1050
235	323	1046
236	324	1043
237	324	1039
238	325	1035
239	325	1031
240	326	1028
241	327	1024
242	327	1020
243	328	1016
244	328	1013
245	329	1009
246	330	1007
247	331	1004
248	331	1001
249	332	997
250	333	993
251	333	990
252	334	986
253	334	983
254	335	979
255	335	976
256	336	972
257	337	969
258	337	966
259	338	963
260	338	959
261	339	956
262	340	953
263	340	949
264	341	946
265	341	943
266	342	940
267	343	936
268	343	933
269	344	930
270	345	929
271	346	926
272	346	923
273	347	920
274	347	917
275	348	914
276	349	911
277	349	908
278	350	905
279	350	902
280	351	899
281	352	896
282	352	893
283	353	890
284	353	887
285	354	884
286	354	881
287	355	878
288	356	876
289	356	873
290	357	870
291	357	867
292	358	864
293	358	862
294	360	860
295	360	858
296	361	855
297	362	852
298	362	850
299	363	847
300	363	844
301	364	842
302	364	839
303	365	836
304	366	834
305	366	831
306	367	829
307	368	827
308	368	824
309	369	822
310	370	819
311	370	817
312	371	815
313	372	812
314	372	810
315	373	809
316	377	812
317	378	812
318	379	810
319	380	808
320	381	806
321	382	804
322	383	802
323	383	800
324	384	798
325	385	796
326	385	794
327	386	791
328	387	789
329	387	787
330	388	784
331	388	782
332	389	780
333	390	779
334	391	777
335	392	775
336	392	772
337	393	770
338	394	768
339	394	766
340	395	763
341	395	761
342	396	759
343	396	757
344	397	754
345	398	752
346	398	750
347	399	748
348	399	745
349	400	743
350	401	741
351	401	739
352	402	737
353	402	735
354	403	732
355	403	730
356	404	728
357	405	727
358	406	725
359	407	723
360	407	721
361	408	719
362	408	717
363	409	715
364	410	713
365	410	711
366	411	709
367	411	707
368	412	705
369	413	703
370	413	701
371	414	699
372	414	697
373	415	695
374	415	693
375	416	691
376	417	689
377	417	687
378	418	685
379	418	683
380	419	681
381	420	680
382	421	679
383	422	677
384	422	675
385	423	673
386	423	671
387	424	669
388	425	667
389	425	665
390	426	663
391	426	662
392	427	660
393	427	658
394	428	656
395	429	654
396	429	652
397	430	650
398	430	649
399	431	647
400	432	645
401	432	643
402	433	641
403	433	640
404	434	638
405	435	637
406	436	635
407	437	634
408	438	633
409	438	631
410	439	630
411	440	628
412	441	627
413	442	625
414	443	624
415	443	622
416	444	621
417	445	620
418	446	619
419	447	617
420	448	616
421	448	614
422	449	613
423	450	612
424	451	610
425	451	609
426	452	607
427	453	605
428	453	604
429	454	602
430	455	601
431	455	599
432	456	597
433	457	596
434	457	594
435	458	593
436	459	591
437	459	590
438	460	588
439	461	587
440	461	585
441	462	584
442	463	582
443	464	581
444	465	580
445	466	579
446	466	577
447	467	576
448	468	574
449	468	573
450	469	571
451	470	570
452	470	568
453	471	566
454	472	565
455	472	563
456	473	562
457	473	560
458	474	559
459	475	557
460	475	556
461	476	555
462	477	554
463	479	553
464	481	553
465	482	552
466	482	551
467	483	549
468	484	548
469	485	547
470	486	546
471	487	544
472	487	543
473	488	541
474	489	540
475	489	538
476	490	537
477	490	536
478	491	534
479	492	533
480	492	531
481	493	530
482	493	528
483	494	527
484	496	527
485	497	525
486	497	524
487	498	522
488	498	521
489	499	519
490	500	518
491	500	517
492	501	515
493	501	514
494	502	512
495	503	511
496	503	509
497	504	508
498	504	506
499	505	505
500	506	504
501	506	502
502	507	501
503	507	499
504	508	498
505	509	496
506	509	495
507	511	495
508	511	493
509	512	492
510	513	491
511	513	489
512	514	488
513	515	487
514	516	486
515	516	484
516	517	483
517	517	481
518	518	480
519	519	479
520	519	477
521	520	476
522	521	475
523	521	473
524	522	472
525	522	471
526	523	469
527	523	468
528	524	467
529	526	466
530	526	465
531	527	464
532	528	462
533	528	461
534	529	460
535	530	459
536	530	457
537	531	456
538	532	455
539	532	453
540	533	452
541	533	450
542	534	449
543	534	448
544	535	447
545	536	445
546	536	444
547	537	443
548	537	441
549	538	440
550	538	439
551	539	437
552	540	437
553	541	436
554	542	434
555	543	433
556	543	432
557	544	431
558	545	430
559	545	428
560	546	427
561	546	426
562	547	425
563	548	423
564	548	422
565	549	421
566	549	419
567	550	418
568	551	417
569	551	416
570	552	414
571	552	413
572	553	412
573	553	411
574	554	409
575	555	409
576	556	408
577	557	406
578	558	405
579	558	404
580	559	403
581	559	402
582	560	400
583	560	399
584	561	398
585	562	397
586	562	395
587	563	394
588	563	393
589	564	392
590	565	391
591	565	389
592	566	388
593	566	387
594	567	386
595	568	385
596	568	383
597	569	382
598	570	382
599	571	381
600	572	379
601	573	378
602	573	377
603	574	376
604	574	375
605	575	374
606	575	372
607	576	371
608	577	370
609	577	369
610	578	368
611	578	366
612	579	365
613	580	364
614	580	363
615	581	362
616	581	361
617	582	360
618	583	358
619	583	357
620	584	356
621	585	355
622	586	354
623	587	353
624	587	352
625	588	351
626	589	350
627	589	349
628	590	348
629	590	347
630	591	345
631	592	344
632	592	343
633	593	342
634	593	341
635	594	340
636	595	339
637	595	337
638	596	336
639	596	335
640	597	334
641	597	333
642	598	332
643	599	331
644	600	330
645	601	329
646	601	328
647	602	327
648	603	326
649	603	325
650	604	323
651	604	322
652	605	321
653	605	320
654	606	319
655	607	318
656	607	317
657	608	316
658	608	315
659	609	313
660	610	312
661	610	311
662	611	310
663	611	309
664	612	308
665	612	307
666	613	306
667	614	305
668	615	304
669	615	303
670	616	302
671	616	301
672	617	300
673	618	298
674	618	297
675	619	296
676	619	295
677	620	294
678	621	293
679	621	292
680	622	291
681	622	290
682	623	289
683	624	288
684	624	287
685	625	286
686	625	285
687	626	284
688	626	283
689	627	281
690	628	280
691	628	279
692	629	278
693	629	277
694	630	276
695	631	275
696	631	274
697	632	273
698	632	272
699	633	271
700	634	270
701	634	269
702	635	268
703	635	267
704	636	266
705	636	265
706	637	264
707	637	263
708	638	262
709	639	261
710	639	260
711	640	259
712	640	257
713	641	256
714	642	255
715	642	254
716	643	253
717	643	252
718	644	251
719	645	250
720	645	249
721	646	248
722	647	247
723	647	246
724	648	245
725	648	244
726	649	243
727	649	242
728	650	241
729	651	240
730	651	239
731	652	238
732	652	237
