iter	Passed	Remaining
0	144	144302
1	145	72451
2	146	48561
3	146	36560
4	147	29352
5	148	24556
6	148	21124
7	149	18546
8	150	16552
9	151	14955
10	151	13653
11	152	12558
12	153	11627
13	153	10830
14	154	10143
15	155	9538
16	155	9005
17	156	8530
18	156	8104
19	157	7721
20	158	7376
21	158	7062
22	159	6775
23	160	6512
24	161	6289
25	162	6070
26	162	5863
27	163	5669
28	163	5489
29	164	5321
30	165	5164
31	165	5016
32	166	4878
33	167	4747
34	167	4623
35	168	4508
36	169	4399
37	169	4296
38	170	4197
39	170	4103
40	171	4014
41	172	3933
42	173	3853
43	173	3776
44	174	3701
45	175	3630
46	175	3567
47	176	3509
48	177	3447
49	178	3387
50	178	3329
51	179	3273
52	180	3220
53	180	3168
54	181	3119
55	182	3072
56	182	3025
57	183	2982
58	184	2938
59	184	2897
60	185	2857
61	186	2818
62	186	2780
63	187	2743
64	188	2708
65	188	2673
66	189	2639
67	190	2607
68	191	2581
69	192	2554
70	193	2526
71	193	2497
72	194	2468
73	195	2441
74	195	2414
75	196	2388
76	197	2363
77	197	2338
78	198	2313
79	199	2289
80	199	2266
81	200	2243
82	200	2218
83	201	2197
84	202	2176
85	202	2156
86	203	2135
87	204	2115
88	204	2096
89	205	2077
90	206	2063
91	207	2045
92	208	2030
93	208	2012
94	209	1995
95	210	1978
96	210	1961
97	211	1946
98	212	1930
99	212	1915
100	213	1899
101	214	1885
102	214	1870
103	215	1856
104	216	1842
105	216	1828
106	217	1814
107	217	1800
108	218	1786
109	219	1773
110	219	1760
111	220	1747
112	221	1736
113	222	1725
114	222	1715
115	223	1703
116	224	1691
117	224	1679
118	225	1668
119	225	1656
120	226	1645
121	227	1633
122	227	1623
123	228	1612
124	228	1601
125	229	1591
126	229	1580
127	230	1570
128	231	1561
129	231	1551
130	232	1541
131	233	1532
132	233	1523
133	234	1513
134	234	1504
135	235	1495
136	236	1490
137	237	1482
138	238	1475
139	238	1466
140	239	1458
141	239	1448
142	240	1440
143	241	1432
144	241	1424
145	242	1416
146	242	1409
147	243	1401
148	244	1393
149	244	1386
150	245	1379
151	245	1371
152	246	1364
153	247	1357
154	247	1350
155	248	1343
156	248	1336
157	249	1330
158	250	1323
159	251	1318
160	251	1310
161	252	1305
162	253	1299
163	253	1293
164	254	1287
165	255	1281
166	255	1274
167	256	1268
168	256	1262
169	257	1256
170	258	1250
171	258	1244
172	259	1239
173	259	1233
174	260	1227
175	261	1222
176	261	1216
177	262	1211
178	262	1205
179	263	1200
180	264	1194
181	264	1189
182	265	1184
183	266	1180
184	266	1175
185	267	1171
186	268	1167
187	269	1162
188	269	1157
189	270	1152
190	271	1148
191	271	1143
192	272	1138
193	272	1133
194	273	1128
195	274	1124
196	274	1119
197	275	1115
198	275	1110
